ID_Orden,ID_Equipo,Fecha,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Ubicacion,Frecuencia de mantenimiento correctivo
74,1,2021-09-29,Preventivo,688,2,Ubicacion_C,67
75,1,2021-11-07,Preventivo,302,2,Ubicacion_C,67
76,1,2021-12-07,Preventivo,102,2,Ubicacion_C,67
77,1,2022-01-13,Preventivo,649,1,Ubicacion_C,67
78,1,2022-02-18,Preventivo,183,2,Ubicacion_C,67
79,1,2022-03-21,Preventivo,526,2,Ubicacion_C,67
80,1,2022-04-27,Preventivo,109,2,Ubicacion_C,67
81,1,2022-06-10,Preventivo,688,1,Ubicacion_C,67
82,1,2022-07-23,Preventivo,489,1,Ubicacion_C,67
83,1,2022-09-01,Preventivo,792,2,Ubicacion_C,67
84,1,2022-10-10,Preventivo,845,1,Ubicacion_C,67
85,1,2022-11-15,Preventivo,335,1,Ubicacion_C,67
86,1,2022-12-19,Preventivo,265,1,Ubicacion_C,67
87,1,2023-01-20,Preventivo,509,2,Ubicacion_C,67
88,1,2023-02-24,Preventivo,304,2,Ubicacion_C,67
89,1,2023-03-30,Preventivo,118,1,Ubicacion_C,67
90,1,2023-05-02,Preventivo,601,1,Ubicacion_C,67
91,1,2023-06-12,Preventivo,660,1,Ubicacion_C,67
92,1,2023-07-19,Preventivo,443,1,Ubicacion_C,67
93,1,2023-08-23,Preventivo,975,2,Ubicacion_C,67
94,1,2023-09-24,Preventivo,754,2,Ubicacion_C,67
95,1,2023-10-26,Preventivo,384,2,Ubicacion_C,67
96,1,2023-11-27,Preventivo,498,1,Ubicacion_C,67
97,1,2024-01-11,Preventivo,544,1,Ubicacion_C,67
98,1,2024-02-14,Preventivo,641,2,Ubicacion_C,67
99,1,2024-03-18,Preventivo,778,1,Ubicacion_C,67
100,1,2024-04-25,Preventivo,447,2,Ubicacion_C,67
101,1,2024-06-04,Preventivo,233,2,Ubicacion_C,67
102,1,2024-07-08,Preventivo,757,2,Ubicacion_C,67
103,1,2024-08-15,Preventivo,799,1,Ubicacion_C,67
104,1,2024-09-22,Preventivo,654,1,Ubicacion_C,67
105,1,2024-10-31,Preventivo,601,2,Ubicacion_C,67
106,1,2024-12-13,Preventivo,769,1,Ubicacion_C,67
107,2,2021-01-12,Correctivo,2628,10,Ubicacion_A,84
108,2,2021-01-22,Correctivo,945,5,Ubicacion_A,84
109,2,2021-03-13,Correctivo,875,14,Ubicacion_A,84
110,2,2021-03-17,Correctivo,2215,20,Ubicacion_A,84
111,2,2021-03-27,Correctivo,4600,11,Ubicacion_A,84
112,2,2021-03-29,Correctivo,1063,2,Ubicacion_A,84
113,2,2021-04-03,Correctivo,1003,19,Ubicacion_A,84
114,2,2021-04-21,Correctivo,3407,2,Ubicacion_A,84
115,2,2021-04-24,Correctivo,1260,3,Ubicacion_A,84
116,2,2021-05-09,Correctivo,3146,3,Ubicacion_A,84
117,2,2021-07-14,Correctivo,1160,16,Ubicacion_A,84
118,2,2021-08-12,Correctivo,1569,5,Ubicacion_A,84
119,2,2021-09-01,Correctivo,1863,13,Ubicacion_A,84
120,2,2021-09-15,Correctivo,4167,14,Ubicacion_A,84
121,2,2021-10-31,Correctivo,2622,14,Ubicacion_A,84
122,2,2021-11-03,Correctivo,2012,15,Ubicacion_A,84
123,2,2021-12-21,Correctivo,3783,10,Ubicacion_A,84
124,2,2021-12-27,Correctivo,3475,15,Ubicacion_A,84
125,2,2022-01-08,Correctivo,4667,21,Ubicacion_A,84
126,2,2022-01-14,Correctivo,4962,10,Ubicacion_A,84
127,2,2022-01-16,Correctivo,2327,5,Ubicacion_A,84
128,2,2022-01-23,Correctivo,2320,8,Ubicacion_A,84
129,2,2022-02-09,Correctivo,3213,20,Ubicacion_A,84
130,2,2022-02-14,Correctivo,853,3,Ubicacion_A,84
131,2,2022-02-15,Correctivo,2385,12,Ubicacion_A,84
132,2,2022-04-24,Correctivo,1076,8,Ubicacion_A,84
133,2,2022-05-06,Correctivo,4710,7,Ubicacion_A,84
134,2,2022-06-16,Correctivo,4693,20,Ubicacion_A,84
135,2,2022-07-27,Correctivo,1007,24,Ubicacion_A,84
136,2,2022-07-28,Correctivo,3660,22,Ubicacion_A,84
137,2,2022-07-31,Correctivo,3630,5,Ubicacion_A,84
138,2,2022-08-15,Correctivo,4350,23,Ubicacion_A,84
139,2,2022-08-20,Correctivo,2972,3,Ubicacion_A,84
140,2,2022-09-01,Correctivo,2759,6,Ubicacion_A,84
141,2,2022-09-12,Correctivo,3090,4,Ubicacion_A,84
142,2,2022-09-17,Correctivo,3951,1,Ubicacion_A,84
143,2,2022-09-21,Correctivo,3730,15,Ubicacion_A,84
144,2,2022-09-29,Correctivo,3328,2,Ubicacion_A,84
145,2,2022-10-22,Correctivo,1167,14,Ubicacion_A,84
146,2,2022-10-31,Correctivo,3081,6,Ubicacion_A,84
147,2,2022-11-19,Correctivo,3853,14,Ubicacion_A,84
148,2,2022-12-16,Correctivo,4251,23,Ubicacion_A,84
149,2,2022-12-20,Correctivo,2537,18,Ubicacion_A,84
150,2,2023-01-06,Correctivo,1583,11,Ubicacion_A,84
151,2,2023-01-28,Correctivo,3623,17,Ubicacion_A,84
152,2,2023-01-29,Correctivo,1309,6,Ubicacion_A,84
153,2,2023-02-15,Correctivo,2557,11,Ubicacion_A,84
154,2,2023-03-11,Correctivo,1907,17,Ubicacion_A,84
155,2,2023-03-16,Correctivo,1935,12,Ubicacion_A,84
156,2,2023-04-17,Correctivo,1240,12,Ubicacion_A,84
157,2,2023-05-02,Correctivo,2008,20,Ubicacion_A,84
158,2,2023-05-13,Correctivo,3140,23,Ubicacion_A,84
159,2,2023-05-14,Correctivo,759,10,Ubicacion_A,84
160,2,2023-05-17,Correctivo,2942,1,Ubicacion_A,84
161,2,2023-06-04,Correctivo,2964,22,Ubicacion_A,84
162,2,2023-06-12,Correctivo,2249,15,Ubicacion_A,84
163,2,2023-06-15,Correctivo,1194,14,Ubicacion_A,84
164,2,2023-06-24,Correctivo,2106,3,Ubicacion_A,84
165,2,2023-08-19,Correctivo,2832,24,Ubicacion_A,84
166,2,2023-09-02,Correctivo,4294,6,Ubicacion_A,84
167,2,2023-09-20,Correctivo,1893,15,Ubicacion_A,84
168,2,2023-09-29,Correctivo,4669,18,Ubicacion_A,84
169,2,2023-10-20,Correctivo,1610,18,Ubicacion_A,84
170,2,2023-11-05,Correctivo,2270,8,Ubicacion_A,84
171,2,2023-11-12,Correctivo,3677,8,Ubicacion_A,84
172,2,2023-11-17,Correctivo,3764,20,Ubicacion_A,84
173,2,2023-11-23,Correctivo,3720,8,Ubicacion_A,84
174,2,2023-12-14,Correctivo,2008,3,Ubicacion_A,84
175,2,2023-12-16,Correctivo,4243,10,Ubicacion_A,84
176,2,2024-02-14,Correctivo,2726,13,Ubicacion_A,84
177,2,2024-03-10,Correctivo,3841,1,Ubicacion_A,84
178,2,2024-03-22,Correctivo,555,17,Ubicacion_A,84
179,2,2024-04-12,Correctivo,2898,13,Ubicacion_A,84
180,2,2024-04-27,Correctivo,4040,14,Ubicacion_A,84
181,2,2024-06-01,Correctivo,1022,10,Ubicacion_A,84
182,2,2024-06-25,Correctivo,1604,12,Ubicacion_A,84
183,2,2024-08-13,Correctivo,4285,8,Ubicacion_A,84
184,2,2024-09-17,Correctivo,939,1,Ubicacion_A,84
185,2,2024-10-08,Correctivo,3755,2,Ubicacion_A,84
186,2,2024-10-23,Correctivo,4812,7,Ubicacion_A,84
187,2,2024-10-24,Correctivo,4831,3,Ubicacion_A,84
188,2,2024-11-15,Correctivo,1831,6,Ubicacion_A,84
189,2,2024-12-03,Correctivo,4037,11,Ubicacion_A,84
190,2,2024-12-18,Correctivo,1023,12,Ubicacion_A,84
191,2,2021-01-27,Preventivo,363,1,Ubicacion_A,84
192,2,2021-02-21,Preventivo,623,2,Ubicacion_A,84
193,2,2021-03-18,Preventivo,189,2,Ubicacion_A,84
194,2,2021-04-06,Preventivo,412,1,Ubicacion_A,84
195,2,2021-04-24,Preventivo,401,2,Ubicacion_A,84
196,2,2021-05-13,Preventivo,481,1,Ubicacion_A,84
197,2,2021-06-05,Preventivo,452,2,Ubicacion_A,84
198,2,2021-06-24,Preventivo,391,1,Ubicacion_A,84
199,2,2021-07-21,Preventivo,816,1,Ubicacion_A,84
200,2,2021-08-11,Preventivo,355,2,Ubicacion_A,84
201,2,2021-08-29,Preventivo,634,2,Ubicacion_A,84
202,2,2021-09-23,Preventivo,574,1,Ubicacion_A,84
203,2,2021-10-13,Preventivo,265,2,Ubicacion_A,84
204,2,2021-11-06,Preventivo,649,2,Ubicacion_A,84
205,2,2021-12-02,Preventivo,392,2,Ubicacion_A,84
206,2,2021-12-25,Preventivo,186,1,Ubicacion_A,84
207,2,2022-01-17,Preventivo,108,2,Ubicacion_A,84
208,2,2022-02-09,Preventivo,727,2,Ubicacion_A,84
209,2,2022-03-01,Preventivo,543,1,Ubicacion_A,84
210,2,2022-03-21,Preventivo,483,1,Ubicacion_A,84
211,2,2022-04-11,Preventivo,592,2,Ubicacion_A,84
212,2,2022-04-30,Preventivo,159,2,Ubicacion_A,84
213,2,2022-05-22,Preventivo,516,1,Ubicacion_A,84
214,2,2022-06-14,Preventivo,984,2,Ubicacion_A,84
215,2,2022-07-08,Preventivo,451,2,Ubicacion_A,84
216,2,2022-07-26,Preventivo,773,1,Ubicacion_A,84
217,2,2022-08-21,Preventivo,453,2,Ubicacion_A,84
218,2,2022-09-15,Preventivo,591,2,Ubicacion_A,84
219,2,2022-10-10,Preventivo,597,1,Ubicacion_A,84
220,2,2022-10-29,Preventivo,474,2,Ubicacion_A,84
221,2,2022-11-18,Preventivo,956,1,Ubicacion_A,84
222,2,2022-12-13,Preventivo,505,1,Ubicacion_A,84
223,2,2022-12-31,Preventivo,693,2,Ubicacion_A,84
224,2,2023-01-23,Preventivo,112,1,Ubicacion_A,84
225,2,2023-02-19,Preventivo,735,2,Ubicacion_A,84
226,2,2023-03-14,Preventivo,105,1,Ubicacion_A,84
227,2,2023-04-10,Preventivo,694,1,Ubicacion_A,84
228,2,2023-05-05,Preventivo,568,2,Ubicacion_A,84
229,2,2023-05-25,Preventivo,248,1,Ubicacion_A,84
230,2,2023-06-12,Preventivo,451,1,Ubicacion_A,84
231,2,2023-07-03,Preventivo,445,1,Ubicacion_A,84
232,2,2023-07-24,Preventivo,121,2,Ubicacion_A,84
233,2,2023-08-20,Preventivo,486,2,Ubicacion_A,84
234,2,2023-09-16,Preventivo,672,1,Ubicacion_A,84
235,2,2023-10-07,Preventivo,471,2,Ubicacion_A,84
236,2,2023-11-02,Preventivo,750,1,Ubicacion_A,84
237,2,2023-11-23,Preventivo,872,2,Ubicacion_A,84
238,2,2023-12-11,Preventivo,565,2,Ubicacion_A,84
239,2,2023-12-31,Preventivo,485,2,Ubicacion_A,84
240,2,2024-01-21,Preventivo,171,1,Ubicacion_A,84
241,2,2024-02-09,Preventivo,682,2,Ubicacion_A,84
242,2,2024-02-28,Preventivo,293,2,Ubicacion_A,84
243,2,2024-03-18,Preventivo,346,1,Ubicacion_A,84
244,2,2024-04-10,Preventivo,725,2,Ubicacion_A,84
245,2,2024-04-30,Preventivo,325,1,Ubicacion_A,84
246,2,2024-05-26,Preventivo,282,2,Ubicacion_A,84
247,2,2024-06-14,Preventivo,948,2,Ubicacion_A,84
248,2,2024-07-06,Preventivo,735,2,Ubicacion_A,84
249,2,2024-07-29,Preventivo,552,2,Ubicacion_A,84
250,2,2024-08-20,Preventivo,272,2,Ubicacion_A,84
251,2,2024-09-13,Preventivo,126,2,Ubicacion_A,84
252,2,2024-10-06,Preventivo,541,1,Ubicacion_A,84
253,2,2024-10-31,Preventivo,387,2,Ubicacion_A,84
254,2,2024-11-24,Preventivo,594,2,Ubicacion_A,84
255,2,2024-12-13,Preventivo,714,1,Ubicacion_A,84
256,3,2021-01-09,Correctivo,3290,22,Ubicacion_B,81
257,3,2021-01-12,Correctivo,2885,18,Ubicacion_B,81
258,3,2021-02-21,Correctivo,3600,3,Ubicacion_B,81
259,3,2021-03-21,Correctivo,4863,9,Ubicacion_B,81
260,3,2021-04-02,Correctivo,4886,18,Ubicacion_B,81
261,3,2021-05-04,Correctivo,3678,8,Ubicacion_B,81
262,3,2021-05-14,Correctivo,1315,13,Ubicacion_B,81
263,3,2021-05-27,Correctivo,4494,1,Ubicacion_B,81
264,3,2021-05-28,Correctivo,3976,2,Ubicacion_B,81
265,3,2021-06-17,Correctivo,2755,9,Ubicacion_B,81
266,3,2021-06-22,Correctivo,4539,3,Ubicacion_B,81
267,3,2021-07-04,Correctivo,1670,17,Ubicacion_B,81
268,3,2021-07-09,Correctivo,3142,9,Ubicacion_B,81
269,3,2021-07-12,Correctivo,2075,2,Ubicacion_B,81
270,3,2021-08-03,Correctivo,1262,15,Ubicacion_B,81
271,3,2021-10-22,Correctivo,976,8,Ubicacion_B,81
272,3,2021-11-15,Correctivo,1670,16,Ubicacion_B,81
273,3,2021-11-18,Correctivo,1713,13,Ubicacion_B,81
274,3,2021-11-24,Correctivo,855,12,Ubicacion_B,81
275,3,2021-12-07,Correctivo,4429,4,Ubicacion_B,81
276,3,2021-12-24,Correctivo,4732,2,Ubicacion_B,81
277,3,2022-01-02,Correctivo,3226,3,Ubicacion_B,81
278,3,2022-01-03,Correctivo,1817,1,Ubicacion_B,81
279,3,2022-02-27,Correctivo,529,6,Ubicacion_B,81
280,3,2022-03-24,Correctivo,2295,20,Ubicacion_B,81
281,3,2022-03-30,Correctivo,2889,6,Ubicacion_B,81
282,3,2022-04-14,Correctivo,2370,23,Ubicacion_B,81
283,3,2022-04-16,Correctivo,1270,22,Ubicacion_B,81
284,3,2022-04-19,Correctivo,1912,9,Ubicacion_B,81
285,3,2022-04-22,Correctivo,3425,15,Ubicacion_B,81
286,3,2022-05-04,Correctivo,4198,13,Ubicacion_B,81
287,3,2022-05-09,Correctivo,2342,14,Ubicacion_B,81
288,3,2022-05-19,Correctivo,2135,11,Ubicacion_B,81
289,3,2022-05-30,Correctivo,3225,6,Ubicacion_B,81
290,3,2022-06-03,Correctivo,2630,24,Ubicacion_B,81
291,3,2022-06-25,Correctivo,1565,7,Ubicacion_B,81
292,3,2022-07-07,Correctivo,2551,18,Ubicacion_B,81
293,3,2022-08-30,Correctivo,3269,8,Ubicacion_B,81
294,3,2022-08-31,Correctivo,1973,19,Ubicacion_B,81
295,3,2022-10-01,Correctivo,3097,10,Ubicacion_B,81
296,3,2022-10-28,Correctivo,4481,8,Ubicacion_B,81
297,3,2022-12-01,Correctivo,3992,11,Ubicacion_B,81
298,3,2022-12-25,Correctivo,3616,19,Ubicacion_B,81
299,3,2023-02-28,Correctivo,4781,17,Ubicacion_B,81
300,3,2023-03-04,Correctivo,4771,23,Ubicacion_B,81
301,3,2023-03-12,Correctivo,1074,23,Ubicacion_B,81
302,3,2023-03-16,Correctivo,1836,7,Ubicacion_B,81
303,3,2023-03-19,Correctivo,4371,13,Ubicacion_B,81
304,3,2023-03-30,Correctivo,2998,8,Ubicacion_B,81
305,3,2023-05-02,Correctivo,3771,17,Ubicacion_B,81
306,3,2023-05-18,Correctivo,842,12,Ubicacion_B,81
307,3,2023-05-23,Correctivo,1095,19,Ubicacion_B,81
308,3,2023-06-08,Correctivo,4411,7,Ubicacion_B,81
309,3,2023-07-02,Correctivo,1593,18,Ubicacion_B,81
310,3,2023-07-12,Correctivo,1533,4,Ubicacion_B,81
311,3,2023-07-23,Correctivo,4305,10,Ubicacion_B,81
312,3,2023-07-24,Correctivo,2397,13,Ubicacion_B,81
313,3,2023-09-10,Correctivo,849,20,Ubicacion_B,81
314,3,2023-10-08,Correctivo,2022,6,Ubicacion_B,81
315,3,2023-10-15,Correctivo,2671,23,Ubicacion_B,81
316,3,2023-10-18,Correctivo,792,19,Ubicacion_B,81
317,3,2023-12-06,Correctivo,3028,10,Ubicacion_B,81
318,3,2023-12-24,Correctivo,1312,23,Ubicacion_B,81
319,3,2024-01-20,Correctivo,4975,17,Ubicacion_B,81
320,3,2024-01-23,Correctivo,3964,8,Ubicacion_B,81
321,3,2024-02-04,Correctivo,1650,10,Ubicacion_B,81
322,3,2024-02-20,Correctivo,2978,4,Ubicacion_B,81
323,3,2024-03-12,Correctivo,1296,12,Ubicacion_B,81
324,3,2024-03-19,Correctivo,2277,5,Ubicacion_B,81
325,3,2024-04-06,Correctivo,1008,21,Ubicacion_B,81
326,3,2024-04-07,Correctivo,1246,17,Ubicacion_B,81
327,3,2024-04-08,Correctivo,1566,8,Ubicacion_B,81
328,3,2024-04-20,Correctivo,718,5,Ubicacion_B,81
329,3,2024-06-15,Correctivo,2853,19,Ubicacion_B,81
330,3,2024-06-17,Correctivo,1610,9,Ubicacion_B,81
331,3,2024-07-15,Correctivo,3851,1,Ubicacion_B,81
332,3,2024-08-13,Correctivo,1609,17,Ubicacion_B,81
333,3,2024-10-05,Correctivo,4914,18,Ubicacion_B,81
334,3,2024-11-14,Correctivo,4132,6,Ubicacion_B,81
335,3,2024-11-25,Correctivo,3799,8,Ubicacion_B,81
336,3,2024-12-10,Correctivo,4381,7,Ubicacion_B,81
337,3,2021-01-20,Preventivo,688,1,Ubicacion_B,81
338,3,2021-02-09,Preventivo,274,1,Ubicacion_B,81
339,3,2021-03-02,Preventivo,115,1,Ubicacion_B,81
340,3,2021-03-24,Preventivo,292,2,Ubicacion_B,81
341,3,2021-04-18,Preventivo,625,1,Ubicacion_B,81
342,3,2021-05-09,Preventivo,613,2,Ubicacion_B,81
343,3,2021-06-04,Preventivo,378,1,Ubicacion_B,81
344,3,2021-06-27,Preventivo,782,1,Ubicacion_B,81
345,3,2021-07-20,Preventivo,887,2,Ubicacion_B,81
346,3,2021-08-07,Preventivo,770,1,Ubicacion_B,81
347,3,2021-09-02,Preventivo,349,1,Ubicacion_B,81
348,3,2021-09-24,Preventivo,464,2,Ubicacion_B,81
349,3,2021-10-19,Preventivo,518,2,Ubicacion_B,81
350,3,2021-11-12,Preventivo,410,1,Ubicacion_B,81
351,3,2021-12-07,Preventivo,774,1,Ubicacion_B,81
352,3,2021-12-31,Preventivo,999,2,Ubicacion_B,81
353,3,2022-01-20,Preventivo,587,2,Ubicacion_B,81
354,3,2022-02-10,Preventivo,933,1,Ubicacion_B,81
355,3,2022-03-02,Preventivo,676,2,Ubicacion_B,81
356,3,2022-03-21,Preventivo,912,1,Ubicacion_B,81
357,3,2022-04-17,Preventivo,285,2,Ubicacion_B,81
358,3,2022-05-12,Preventivo,380,1,Ubicacion_B,81
359,3,2022-06-07,Preventivo,809,1,Ubicacion_B,81
360,3,2022-06-30,Preventivo,319,1,Ubicacion_B,81
361,3,2022-07-20,Preventivo,716,2,Ubicacion_B,81
362,3,2022-08-07,Preventivo,492,2,Ubicacion_B,81
363,3,2022-08-29,Preventivo,878,2,Ubicacion_B,81
364,3,2022-09-17,Preventivo,354,2,Ubicacion_B,81
365,3,2022-10-12,Preventivo,168,1,Ubicacion_B,81
366,3,2022-10-31,Preventivo,297,2,Ubicacion_B,81
367,3,2022-11-26,Preventivo,897,2,Ubicacion_B,81
368,3,2022-12-20,Preventivo,295,2,Ubicacion_B,81
369,3,2023-01-08,Preventivo,744,1,Ubicacion_B,81
370,3,2023-01-28,Preventivo,156,2,Ubicacion_B,81
371,3,2023-02-18,Preventivo,906,1,Ubicacion_B,81
372,3,2023-03-10,Preventivo,888,2,Ubicacion_B,81
373,3,2023-04-04,Preventivo,147,2,Ubicacion_B,81
374,3,2023-04-30,Preventivo,514,1,Ubicacion_B,81
375,3,2023-05-20,Preventivo,491,2,Ubicacion_B,81
376,3,2023-06-08,Preventivo,315,2,Ubicacion_B,81
377,3,2023-07-01,Preventivo,521,1,Ubicacion_B,81
378,3,2023-07-20,Preventivo,562,2,Ubicacion_B,81
379,3,2023-08-12,Preventivo,264,2,Ubicacion_B,81
380,3,2023-09-03,Preventivo,564,1,Ubicacion_B,81
381,3,2023-09-25,Preventivo,818,2,Ubicacion_B,81
382,3,2023-10-14,Preventivo,811,1,Ubicacion_B,81
383,3,2023-11-01,Preventivo,789,1,Ubicacion_B,81
384,3,2023-11-27,Preventivo,967,1,Ubicacion_B,81
385,3,2023-12-21,Preventivo,501,2,Ubicacion_B,81
386,3,2024-01-13,Preventivo,282,1,Ubicacion_B,81
387,3,2024-02-07,Preventivo,708,2,Ubicacion_B,81
388,3,2024-03-03,Preventivo,833,2,Ubicacion_B,81
389,3,2024-03-28,Preventivo,363,1,Ubicacion_B,81
390,3,2024-04-15,Preventivo,392,2,Ubicacion_B,81
391,3,2024-05-04,Preventivo,767,2,Ubicacion_B,81
392,3,2024-05-23,Preventivo,130,1,Ubicacion_B,81
393,3,2024-06-10,Preventivo,695,1,Ubicacion_B,81
394,3,2024-07-06,Preventivo,450,2,Ubicacion_B,81
395,3,2024-07-31,Preventivo,896,1,Ubicacion_B,81
396,3,2024-08-21,Preventivo,176,1,Ubicacion_B,81
397,3,2024-09-14,Preventivo,454,2,Ubicacion_B,81
398,3,2024-10-05,Preventivo,844,2,Ubicacion_B,81
399,3,2024-10-29,Preventivo,385,1,Ubicacion_B,81
400,3,2024-11-19,Preventivo,656,2,Ubicacion_B,81
401,3,2024-12-09,Preventivo,137,2,Ubicacion_B,81
402,4,2021-01-09,Correctivo,3778,20,Ubicacion_B,78
403,4,2021-01-16,Correctivo,1575,2,Ubicacion_B,78
404,4,2021-02-03,Correctivo,574,7,Ubicacion_B,78
405,4,2021-03-04,Correctivo,2728,21,Ubicacion_B,78
406,4,2021-04-11,Correctivo,3404,10,Ubicacion_B,78
407,4,2021-06-05,Correctivo,3867,8,Ubicacion_B,78
408,4,2021-06-14,Correctivo,3586,9,Ubicacion_B,78
409,4,2021-06-22,Correctivo,1738,6,Ubicacion_B,78
410,4,2021-07-01,Correctivo,2670,1,Ubicacion_B,78
411,4,2021-08-31,Correctivo,1141,6,Ubicacion_B,78
412,4,2021-09-04,Correctivo,2380,11,Ubicacion_B,78
413,4,2021-09-07,Correctivo,2407,7,Ubicacion_B,78
414,4,2021-09-16,Correctivo,4138,8,Ubicacion_B,78
415,4,2021-10-04,Correctivo,1128,5,Ubicacion_B,78
416,4,2021-10-11,Correctivo,726,14,Ubicacion_B,78
417,4,2021-10-19,Correctivo,3786,15,Ubicacion_B,78
418,4,2021-11-15,Correctivo,1556,2,Ubicacion_B,78
419,4,2021-11-23,Correctivo,4130,13,Ubicacion_B,78
420,4,2022-01-04,Correctivo,4879,10,Ubicacion_B,78
421,4,2022-01-08,Correctivo,886,22,Ubicacion_B,78
422,4,2022-01-25,Correctivo,3496,10,Ubicacion_B,78
423,4,2022-02-11,Correctivo,4203,17,Ubicacion_B,78
424,4,2022-02-20,Correctivo,4079,5,Ubicacion_B,78
425,4,2022-03-06,Correctivo,2176,16,Ubicacion_B,78
